"","Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","ENSMUSG00000003882",2657.19754254034,-4.71834112228302,0.116814726667865,-40.3916634218432,0,0
"2","ENSMUSG00000035186",6250.39923155196,-5.84661821038873,0.16677811183485,-35.0562681521319,3.12947041638642e-269,3.41018391273628e-265
"3","ENSMUSG00000023992",9680.18037092335,-4.56343470187577,0.137892434727528,-33.0941629313675,3.60583368123821e-240,2.61951797496352e-236
"4","ENSMUSG00000030047",4835.77830586002,-3.82723226725483,0.117891419905082,-32.4640442055603,3.43220286715743e-231,1.87003573217073e-227
"5","ENSMUSG00000040751",1783.91509230508,-3.49217131017909,0.119766725101796,-29.1581097104469,6.59316991731705e-187,2.87383090356016e-183
"6","ENSMUSG00000026358",2075.02770712865,-6.27535609397174,0.218312586903392,-28.74482036507,1.05137344646496e-181,3.81893881537624e-178
"7","ENSMUSG00000025473",10263.0628737742,-4.22837650600834,0.148098329123971,-28.5511425484675,2.71868939906422e-179,8.46444525188652e-176
"8","ENSMUSG00000026981",1436.08066568129,-4.13389423991326,0.14488599339317,-28.5320488412936,4.69163972051949e-179,1.27811995086252e-175
"9","ENSMUSG00000030789",12015.7606166184,-4.94487139407498,0.173505628391498,-28.4997751365009,1.17896883358401e-178,2.8549385287922e-175
"10","ENSMUSG00000027698",5087.55805189503,-3.48627865264025,0.123835709772861,-28.152450202246,2.23646493127523e-174,4.87415167122123e-171
"11","ENSMUSG00000032122",8004.50781197863,-4.10871941931496,0.147602021659678,-27.8364711615422,1.57063126228538e-170,3.11184888456795e-167
"12","ENSMUSG00000004933",1072.77458319097,-2.98598959400823,0.109321249403879,-27.3138992674398,2.90050734142292e-164,5.26780474991426e-161
"13","ENSMUSG00000033777",2959.39850890201,-4.42746198428147,0.162153668385282,-27.3041123791395,3.79055815143361e-164,6.35472495018032e-161
"14","ENSMUSG00000036086",3337.92273003547,-4.72459974542591,0.174293707252253,-27.1071160279359,8.11708773072067e-162,1.2635986428809e-158
"15","ENSMUSG00000050335",46704.4976257367,-3.21883358995002,0.120183963058183,-26.7825549103564,5.15975736973476e-158,7.49678347439996e-155
"16","ENSMUSG00000063193",3750.06104119189,-3.50347750656535,0.131404307173584,-26.6618163584036,1.30554829069169e-156,1.77831996545842e-153
"17","ENSMUSG00000026600",4925.96508812135,-2.79879623336504,0.105726072649556,-26.4721479122944,2.02889300808508e-154,2.60104083636507e-151
"18","ENSMUSG00000039062",10568.1354376417,-2.78391873873024,0.105296664622156,-26.438812176245,4.90698510675772e-154,5.94126852314876e-151
"19","ENSMUSG00000032220",7222.65412248672,-3.05707861566927,0.115753841313412,-26.4101699000382,1.04708807172074e-153,1.2010651281622e-150
"20","ENSMUSG00000003363",12108.549118199,-2.22754307096931,0.0845078525855755,-26.3590069184828,4.04653455562174e-153,4.40950870526101e-150
"21","ENSMUSG00000024781",21010.6132609359,-2.72621208008703,0.103589459963293,-26.3174658990698,1.21041786799116e-152,1.25618319119044e-149
"22","ENSMUSG00000029919",4003.47070560364,-3.58648511127026,0.136544324269749,-26.2660870779587,4.68213729106338e-152,4.63829546006524e-149
"23","ENSMUSG00000061132",2552.6262037284,-3.17404184821281,0.121637117474514,-26.0943527281288,4.22562960203274e-150,4.00405963246528e-147
"24","ENSMUSG00000024300",8417.82342903414,-3.18417862048194,0.122410477696749,-26.0123045052581,3.59431172803033e-149,3.26393457502888e-146
"25","ENSMUSG00000024737",2973.90799450302,-4.21137648564313,0.162600675056674,-25.9001168609864,6.63954221087073e-148,5.78808731774866e-145
"26","ENSMUSG00000022667",1558.26276541515,-2.85577139937726,0.11085236048703,-25.7619358471972,2.36922703631288e-146,1.98595900113088e-143
"27","ENSMUSG00000040552",8632.66846523929,-3.37455803240704,0.13304913888227,-25.3632459462443,6.41936862798983e-142,5.18161925475594e-139
"28","ENSMUSG00000038147",6149.86933027541,-3.55489256570364,0.140272495374515,-25.3427627149028,1.07988176145954e-141,8.40533682473183e-139
"29","ENSMUSG00000044811",1945.57420063132,-3.70069563806669,0.146102749138431,-25.3294045450186,1.51561435747029e-141,1.13901032092094e-138
"30","ENSMUSG00000029254",1508.63613804397,-4.36533864101737,0.172470862465096,-25.3105862556975,2.44254563907396e-141,1.77442798859926e-138
"31","ENSMUSG00000079625",1086.90889850451,-5.75689760468461,0.227619576094866,-25.2917508390635,3.93669280681066e-141,2.76762203327844e-138
